Date,Time,Van Veen Grab,User,Station,Core,Depth,Notes
1/18/2019,912,1,CN,TB2A,8,2.9,
1/18/2019,912,1,CN,TB2A,45,2.9,
1/18/2019,924,2,CN,TB2A,6,2.9,"Angled, 4 cm"
1/18/2019,930,3,CN,TB2A,9,2.9,
1/18/2019,930,3,CN,TB2A,26,2.9,
1/18/2019,930,3,CN,TB2A,5,2.9,
1/18/2019,940,4,CN,TB2A,11,2.9,
1/18/2019,940,4,CN,TB2A,19,2.9,
1/18/2019,940,4,CN,TB2A,43,2.9,
1/18/2019,950,5,CN,TB2A,20,2.9,
1/18/2019,950,5,CN,TB2A,14,2.9,
1/18/2019,950,5,CN,TB2A,37,2.9,
1/18/2019,1000,6,CN,TB2A,16,2.9,
1/18/2019,1030,1,GH,TB2B,44,3.1,
1/18/2019,1030,1,GH,TB2B,32,3.1,
1/18/2019,1030,1,GH,TB2B,23,3.1,
1/18/2019,1030,1,GH,TB2B,18,3.1,
1/18/2019,1054,2,SD,TB2B,1,3.1,
1/18/2019,1054,2,SD,TB2B,27,3.1,
1/18/2019,1054,2,SD,TB2B,10,3.1,4 cm
1/18/2019,1102,3,SD,TB2B,15,3.1,
1/18/2019,1102,3,SD,TB2B,2,3.1,
1/18/2019,1102,3,SD,TB2B,35,3.1,
1/18/2019,1109,4,SD,TB2B,4,3.1,
1/18/2019,1109,4,SD,TB2B,30,3.1,
1/18/2019,1245,1,GH,TB2C,24,3.4,
1/18/2019,1245,1,GH,TB2C,29,3.4,
1/18/2019,1258,2,CN,TB2C,22,3.4,
1/18/2019,1258,2,CN,TB2C,13,3.4,
1/18/2019,1258,2,CN,TB2C,25,3.4,
1/18/2019,1305,3,GH,TB2C,21,3.4,
1/18/2019,1305,3,GH,TB2C,38,3.4,
1/18/2019,1318,4,GH,TB2C,7,3.4,
1/18/2019,1318,4,GH,TB2C,36,3.4,
1/18/2019,1318,4,GH,TB2C,28,3.4,
1/18/2019,1318,4,GH,TB2C,17,3.4,
1/18/2019,1322,5,CN,TB2C,34,3.4,
1/18/2019,1158,1,CN,IC2,41,3.3,
1/18/2019,1158,1,CN,IC2,12,3.3,
1/18/2019,1158,1,CN,IC2,33,3.3,
3/22/2019,834,1,GH,TB2A,35,2.9,
3/22/2019,834,1,GH,TB2A,11,2.9,
3/22/2019,852,2,GH,TB2A,10,2.9,
3/22/2019,852,2,GH,TB2A,7,2.9,
3/22/2019,904,3,CN,TB2A,30,2.9,
3/22/2019,904,3,CN,TB2A,36,2.9,
3/22/2019,904,3,CN,TB2A,20,2.9,
3/22/2019,904,3,CN,TB2A,6,2.9,
3/22/2019,916,4,CN,TB2A,13,2.9,
3/22/2019,916,4,CN,TB2A,33,2.9,
3/22/2019,921,5,GH,TB2A,24,2.9,
3/22/2019,925,6,GH,TB2A,32,2.9,
3/22/2019,925,6,GH,TB2A,29,2.9,
3/22/2019,1022,1,GH,TB2Z,40,1.2,
3/22/2019,1022,1,GH,TB2Z,21,1.2,
3/22/2019,1022,1,GH,TB2Z,38,1.2,Angled
3/22/2019,1032,2,GH,TB2Z,1,1.2,
3/22/2019,1032,2,GH,TB2Z,45,1.2,
3/22/2019,1035,3,GH,TB2Z,25,1.2,
3/22/2019,1046,4,GH,TB2Z,41,1.2,
3/22/2019,1046,4,GH,TB2Z,27,1.2,
3/22/2019,1046,4,GH,TB2Z,43,1.2,
3/22/2019,1046,4,GH,TB2Z,22,1.2,
